stop_id,stop_code,name,lat,lon
8107,126029,700 E @ 2101 S,40.725242,-111.871031
8121,126043,1300 E @ 875 S,40.750374,-111.853784
8125,126047,1300 E @ 401 S,40.760419,-111.853755
8132,126558,Stadium Station,40.760958,-111.852451
8133,126559,1300 E @ 480 S,40.758913,-111.854078
8137,126563,1300 E @ 896 S,40.75004,-111.854
8151,126577,1300 E @ 2090 S,40.725715,-111.853961
8194,117124,1000 N @ 901 W,40.790968,-111.917202
8287,629141,4700 S @ 276 W,41.177799,-111.982491
8302,629149,HARRISON BLVD @ 4255 S,41.185841,-111.949189
8339,629159,OLD POST RD @ 4630 S    (OGDEN),41.178437,-111.947701
8342,629162,HARRISON BLVD @ 4286 S,41.185141,-111.948913
8352,623238,36TH ST @ 1220 E    (OGDEN),41.197634,-111.947868
8389,628122,1900 W @ 4410 S,41.182701,-112.025793
8453,627049,3500 W @ 5702 S,41.158903,-112.064393
8474,629113,300 W @ 4720 S,41.177454,-111.982871
8475,629114,4700 S @ 205 W,41.177681,-111.980769
8546,623188,WASHINGTON BLVD @ 2790 S   (OGDEN),41.214696,-111.970483
8556,629030,WASHINGTON BLVD @ 4035 S,41.190016,-111.971319
8558,629032,ARMY ST @ 4421 S,41.183007,-111.973596
8561,629035,ARMY ST @ 4693 S,41.177675,-111.973718
8562,629036,4700 S @ 230 E,41.177691,-111.975528
8575,629049,5300 S @ 655 E,41.168091,-111.964718
8604,629075,ARMY ST @ 4611 S,41.179242,-111.973598
8608,629079,WASHINGTON BLVD @ 3986 S,41.191001,-111.971022
8613,623202,WALL AVE @ 1725 S,41.236056,-111.978676
8614,623203,WALL AVE @ 1710 S,41.236276,-111.978412
8624,632019,2000 W @ 326 N,41.118571,-112.064427
8634,632029,2000 W @ 261 N    (WEST POINT),41.117365,-112.064585
8652,623066,12TH ST @ 320 E,41.244427,-111.970876
8661,615024,1200 W @ 1064 S,41.24618,-112.00943
8674,615037,1200 W @ 1063 S,41.246202,-112.009613
8676,622009,12TH ST @ 1007 W     (OGDEN),41.244472,-112.004151
8681,623073,12TH ST @ 275 E,41.244232,-111.972931
8716,623099,POLK AVE @ 2990 S   (OGDEN),41.210109,-111.942916
8756,623128,HARRISON BLVD @ 1590 S,41.238978,-111.945491
8834,102015,100 E @ 401 N,41.040985,-111.936091
8839,102020,CRESTWOOD DR @ 498 E,41.043481,-111.927493
8850,102031,MAIN ST @ 10 N    (KAYSVILLE),41.035174,-111.938494
8860,101042,FAIRFIELD RD @ 920 N,41.073159,-111.950119
8861,633076,ANTELOPE DR @ 2025 W   (LAYTON),41.089271,-112.001936
8862,633077,ANTELOPE DR @ 345 E   (CLEARFIELD),41.089237,-112.018783
8877,633018,STATE ST @ 180 S,41.110993,-112.023629
8908,101007,RING RD @ 425 W    (LAYTON MALL),41.078921,-111.974571
8913,101012,HILL FIELD RD @ 1748 N,41.084944,-111.973341
8936,633059,STATE ST @ 151 S   (CLEARFIELD),41.111453,-112.023765
8945,632008,1000 W @ 762 N,41.124815,-112.045181
8956,611007,400 E @ 2816 N,41.311494,-111.968528
8959,611010,450 E @ 3098 N,41.317201,-111.966601
8965,611016,3100 N @ 1045 E    (NORTH OGDEN),41.317169,-111.947631
8976,611027,2600 N @ 440 E    (N. OGDEN),41.305942,-111.967571
9004,616060,WASHINGTON BLVD @ 1417 N,41.283457,-111.969349
9011,616069,WASHINGTON BLVD @ 223 S,41.258671,-111.969857
9051,616081,MONROE BLVD @ 951 N,41.274924,-111.959164
9055,616085,Monroe Blvd. @ 377 N,41.266054,-111.959402
9061,616091,MONROE BLVD @ 625 S,41.252934,-111.954621
9063,616093,MONROE BLVD @ 759 S,41.250025,-111.954711
9065,616095,MONROE BLVD @ 820 E,41.249878,-111.954485
9093,616119,HARRISON BLVD @ 708 S,41.251238,-111.947887
9095,616121,HARRISON BLVD @ 250 S,41.258087,-111.947814
9155,623064,WALL AVE @ 3615 S     (OGDEN),41.197381,-111.979542
9175,628015,5700 S @ 1998 W    (ROY),41.159687,-112.028251
9215,610022,2700 N @ 1670 W,41.306693,-112.019392
9248,623002,WASHINGTON BLVD @ 2466 S,41.221071,-111.970371
9249,623003,WASHINGTON BLVD @ 2280 S,41.225194,-111.970231
9251,623005,WASHINGTON BLVD @ 2070 S,41.229395,-111.970103
9252,623006,WASHINGTON BLVD @ 1970 S,41.231608,-111.970065
9258,623012,WASHINGTON BLVD @ 1250 S,41.243253,-111.969802
9259,623013,WASHINGTON BLVD @ 1146 S,41.244797,-111.969785
9297,623021,WASHINGTON BLVD @ 2004 S,41.230785,-111.970432
9299,623023,WASHINGTON BLVD @ 2209 S,41.226238,-111.970521
9300,623024,WASHINGTON BLVD @ 2335 S,41.224347,-111.970566
9302,616031,WASHINGTON BLVD @ 120 S,41.259761,-111.969473
9305,616034,AVC LN @ 502 E,41.26354,-111.965284
9314,616043,WASHINGTON BLVD @ 1110 N   (HRISVL),41.277606,-111.969147
9316,616045,WASHINGTON BLVD @ 1410 N,41.283394,-111.969046
9326,611004,400 E @ 2626 N   (N. OGDEN),41.306538,-111.968553
9410,622021,INDUSTRIAL DR @ 2640 S   (OGDEN),41.217741,-112.011881
9417,622028,HINKLEY DR @ 1350 W    (OGDEN),41.203242,-112.012011
9451,628047,1900 W @ 5570 S    (ROY),41.162659,-112.025904
9551,126534,100 S @ 298 E,40.767065,-111.882795
9553,126540,100 S @ 890 E,40.767106,-111.865667
9569,126060,100 S @ 305 E,40.767254,-111.882215
9577,126070,200 S @ 1301 E,40.765094,-111.853572
9601,127015,ARAPEEN DR @ 789 S,40.751272,-111.826559
9612,127026,WAKARA WAY @ 601 S,40.756206,-111.831842
9662,816024,MAIN ST @ 2001 S,40.260575,-111.694768
9694,816057,STATE ST @ 410 S,40.289405,-111.691809
9705,816012,MAIN ST @ 1998 S,40.260821,-111.694915
9743,820017,300 S @ 780 E,40.229615,-111.645421
9883,623298,WASHINGTON BLVD @ 3560 S,41.198184,-111.970868
10337,817240,STATE ST @ 1360 S,40.272233,-111.684252
10338,817241,STATE ST @ 1532 S,40.269396,-111.682995
10339,817242,STATE ST @ 1632 S,40.267282,-111.682065
10340,806106,STATE RD @ 1344 W,40.368219,-111.760181
10341,806011,STATE ST @ 1084 E,40.370422,-111.769827
10342,806012,STATE ST @ 935 E,40.371101,-111.772851
10343,806107,STATE ST @ 765 E,40.372234,-111.777782
10344,806013,STATE ST @ 695 E,40.373066,-111.781157
10345,806014,STATE ST @ 565 E,40.373723,-111.783928
10347,805001,STATE ST @ 255 E,40.375488,-111.791676
10348,805003,MAIN ST @ 6 W,40.376911,-111.798994
10349,805004,MAIN ST @ 98 W,40.376923,-111.801151
10350,805006,MAIN ST @ 308 W,40.376962,-111.806997
10351,805007,MAIN ST @ 434 W,40.376978,-111.810089
10352,805008,STATE ST @ 124 W,40.379857,-111.813272
10381,805056,STATE ST @ 131 N,40.379225,-111.813363
10382,805057,MAIN ST @ 451 W,40.376788,-111.810254
10384,805058,MAIN ST @ 265 W,40.376756,-111.805551
10388,820226,500 W @ 358 N,40.238382,-111.667354
10390,817254,500 W @ 508 N,40.240802,-111.667323
10393,817256,500 W @ 852 N,40.245064,-111.667301
10394,817257,500 W @ 988 N,40.246757,-111.667317
10395,817258,500 W @ 1078 N,40.248628,-111.667296
10396,817260,STATE ST @ 1460 N,40.253929,-111.669909
10398,817371,STATE ST @ 1730 N,40.256915,-111.672676
10399,817262,STATE ST @ 1870 N,40.259491,-111.675071
10400,817263,STATE ST @ 1950 N,40.261527,-111.676955
10401,817264,STATE ST @ 1851 S,40.264135,-111.679381
10402,817265,STATE ST @ 1697 S,40.266284,-111.681193
10403,817266,STATE ST @ 1587 S,40.268211,-111.682119
10405,817268,STATE ST @ 1365 S,40.272031,-111.683803
10412,816119,CAMPUS DR @ 900 S,40.280882,-111.715671
10423,812176,1200 W @ 1320 N,40.321218,-111.724685
10424,812177,1200 W @ 1448 N,40.323299,-111.724742
10431,805093,MAIN ST @ 101 W,40.376731,-111.801485
10432,805064,STATE ST @ 320 E,40.374918,-111.790216
10433,806017,STATE ST @ 406 E,40.374313,-111.787532
10434,806021,STATE ST @ 562 E,40.373511,-111.784127
10435,806108,STATE ST @ 750 E,40.371956,-111.777753
10436,806023,STATE ST @ 930 E,40.370835,-111.772668
10437,806024,STATE RD @ 1909 W,40.369776,-111.767986
10438,806026,CENTER ST @ 585 W,40.365621,-111.749442
10439,806027,CENTER ST @ 381 W,40.365068,-111.746951
10440,806028,CENTER ST @ 195 W,40.364424,-111.744112
10441,806029,CENTER ST @ 125 W,40.364054,-111.742529
10442,807037,STATE RD @ 100 E,40.357792,-111.738969
10444,807040,STATE ST @ 765 N,40.351506,-111.731487
10445,807044,STATE ST @ 611 N,40.349995,-111.729693
10446,807042,STATE ST @ 521 N,40.346674,-111.725723
10447,807045,STATE ST @ 375 N,40.344308,-111.722934
10450,812026,STATE ST @ 120 S,40.335499,-111.715161
10451,812028,STATE ST @ 1801 N,40.330345,-111.710965
10453,812031,STATE ST @ 1369 N,40.322359,-111.706279
10454,812033,STATE ST @ 1001 N,40.315717,-111.703344
10457,812038,STATE ST @ 597 N,40.308171,-111.700029
10460,812043,STATE ST @ 115 N,40.299145,-111.696076
10461,812045,STATE ST @ 234 S,40.292689,-111.693247
10462,816058,STATE ST @ 610 S,40.286145,-111.690362
10467,817247,STATE ST @ 1695 N,40.255935,-111.672189
10468,817248,STATE ST @ 1335 N,40.253236,-111.669681
10469,817250,500 W @ 1055 N,40.248096,-111.667561
10470,817251,500 W @ 931 N,40.246139,-111.667566
10471,817252,500 W @ 781 N,40.244091,-111.667576
10472,820228,500 W @ 475 N,40.240057,-111.667565
10474,820230,500 W @ 295 N,40.237572,-111.667582
10476,820187,100 N @ 95 W,40.235061,-111.660231
10477,816106,1200 S @ 430 W,40.275257,-111.705712
10481,816050,UNIVERSITY PKWY @ 304 E,40.273269,-111.688561
10484,816048,UNIVERSITY PKWY @ 50 E,40.273276,-111.69402
10485,817128,550 W @ 1821 N,40.258955,-111.668021
10506,CNTR--ST,CENTER STREET STATION,40.233339,-111.658841
10507,820089,UNIVERSITY AVE @ 110 S,40.232092,-111.658851
10508,820090,UNIVERSITY AVE @ 320 S,40.229199,-111.658871
10509,820092,UNIVERSITY AVE @ 992 S,40.220547,-111.659259
10511,820080,UNIVERSITY AVE @ 885 S,40.222182,-111.658569
10512,820081,UNIVERSITY AVE @ 455 S,40.227701,-111.658502
10513,820082,UNIVERSITY AVE @ 267 S,40.23018,-111.658534
10521,817138,800 E @ 905 S,40.280361,-111.676209
10536,817243,STATE ST @ 1738 S,40.265456,-111.680977
10537,817244,STATE ST @ 1900 S,40.263502,-111.679194
10538,817245,STATE ST @ 1951 N,40.260974,-111.676851
10543,817319,700 N @ 570 E,40.242917,-111.648684
10553,817105,550 W @ 1836 N,40.258985,-111.667854
10554,817365,550 W @ 2100 N,40.261752,-111.667933
10556,817090,UNIVERSITY PKWY @ 303 E,40.273491,-111.684616
10558,816111,UNIVERSITY PKWY @ 40 W,40.273673,-111.695962
10560,816112,UNIVERSITY PKWY @ 228 W,40.273724,-111.7006
10566,817368,800 E @ 1146 S,40.276033,-111.676244
10568,802004,STATE ST @ 465 W,40.401906,-111.854932
10570,817369,UNIVERSITY AVE @ 1021 N,40.246963,-111.658841
10572,816047,UNIVERSITY PKWY @ 145 W,40.273396,-111.698401
10575,817307,UNIVERSITY AVE @ 716 N,40.243618,-111.658492
10584,825109,CENTER ST @ 46 E,40.109677,-111.653882
10585,825110,CENTER ST @ 370 E,40.109661,-111.648412
10586,825072,800 E @ 710 N,40.118935,-111.640486
10587,825021,800 E @ 713 N,40.118972,-111.640718
10588,825111,CENTER ST @ 369 E,40.109922,-111.648322
10589,825112,CENTER ST @ 139 E,40.109945,-111.652522
10592,802016,STATE ST @ 480 W,40.402341,-111.855048
10594,806022,STATE ST @ 720 E,40.372601,-111.780428
